PropertyID,Address,City,State,Zip,SqFt,LotSize_Acres,Bedrooms,Bathrooms,GarageSpaces,HasPool,HasPatio,HasDeck,YearBuilt,LastSoldPrice
NormanOK-001,7804 Penn Ave,Norman,OK,73071,3681,0.34,2,2,1,0,1,0,1988,548000
NormanOK-002,3441 Oak Ave,Norman,OK,73071,3148,0.27,4,3,2,1,1,0,1981,482000
NobleOK-001,677 Western Ave,Noble,OK,73068,2617,3.34,5,5,1,0,0,0,2014,338000
OklahomaCityOK-001,3381 Oak Ave,Oklahoma City,OK,73139,3539,0.16,4,3.5,2,0,1,0,2007,513000
NormanOK-003,8911 Classen Blvd,Norman,OK,73069,2589,0.29,3,2.5,3,0,0,0,1972,365000
OklahomaCityOK-002,991 Classen Blvd,Oklahoma City,OK,73159,2483,0.26,3,3,0,0,0,1,1979,309000
OklahomaCityOK-003,7385 Maple Ln,Oklahoma City,OK,73139,1823,0.30,5,5.5,2,0,1,1,1978,250000
OklahomaCityOK-004,8591 Washington Blvd,Oklahoma City,OK,73170,1871,0.20,4,3,2,0,0,1,2019,274000
NobleOK-002,5980 Western Ave,Noble,OK,73068,3642,1.17,5,4,0,0,1,1,1995,468000
OklahomaCityOK-005,8219 Cedar Ct,Oklahoma City,OK,73170,2284,0.21,5,5,0,0,1,0,1972,286000
NormanOK-004,6354 Maple Ln,Norman,OK,73069,2270,0.39,3,3.5,2,1,0,0,2000,356000
OklahomaCityOK-006,3563 Robinson St,Oklahoma City,OK,73159,1435,0.21,2,1,0,0,1,0,2006,182000
NormanOK-005,9722 Main St,Norman,OK,73069,1923,0.39,3,2.5,3,0,1,0,2021,334000
NobleOK-003,7431 Classen Blvd,Noble,OK,73068,3376,0.90,3,3.5,0,0,1,0,1983,430000
NobleOK-004,9195 Cedar Ct,Noble,OK,73068,1961,4.76,4,4,1,0,1,0,1991,245000
NormanOK-006,3306 Pine Rd,Norman,OK,73069,4465,0.21,3,2,1,1,1,0,1987,681000
NobleOK-005,7057 Pine Rd,Noble,OK,73068,2731,2.98,2,1.5,0,0,1,1,2013,355000
OklahomaCityOK-007,5458 Maple Ln,Oklahoma City,OK,73139,1542,0.20,2,2,1,0,1,0,2015,230000
NobleOK-006,1756 Cedar Ct,Noble,OK,73068,2063,1.72,5,5.5,0,0,1,0,1974,226000
NobleOK-007,2924 Main St,Noble,OK,73068,3492,1.56,3,2,1,0,1,1,2023,472000
NormanOK-007,3001 Washington Blvd,Norman,OK,73071,2152,0.25,2,2,0,0,0,1,2010,314000
NobleOK-008,2953 Main St,Noble,OK,73068,1525,0.55,3,2.5,1,0,1,1,1999,198000
NormanOK-008,6917 Oak Ave,Norman,OK,73071,1445,0.23,4,4,3,0,1,0,2021,257000
OklahomaCityOK-008,3376 Washington Blvd,Oklahoma City,OK,73159,2155,0.23,4,4,2,0,0,1,1992,309000
NormanOK-009,7978 Classen Blvd,Norman,OK,73071,2622,0.19,3,3,3,0,1,0,1997,408000
NobleOK-009,373 Western Ave,Noble,OK,73068,2194,2.80,5,4,2,0,0,1,1993,293000
OklahomaCityOK-009,8866 Maple Ln,Oklahoma City,OK,73139,2432,0.20,5,5,0,1,1,1,1998,346000
OklahomaCityOK-010,1927 Main St,Oklahoma City,OK,73139,3651,0.28,2,1,3,0,1,1,1965,492000
NormanOK-010,8409 Cedar Ct,Norman,OK,73069,3559,0.22,2,2.5,1,1,0,1,2014,587000
NormanOK-011,8629 Pine Rd,Norman,OK,73069,3656,0.26,5,5.5,0,0,1,1,1993,530000
OklahomaCityOK-011,8825 Western Ave,Oklahoma City,OK,73139,1139,0.30,4,4.5,3,0,1,0,2001,169000
NormanOK-012,991 Maple Ln,Norman,OK,73071,4450,0.35,3,3,0,0,1,0,1992,659000
OklahomaCityOK-012,488 Cedar Ct,Oklahoma City,OK,73139,1831,0.29,4,4,0,0,0,1,2018,266000
OklahomaCityOK-013,4372 Penn Ave,Oklahoma City,OK,73159,4129,0.33,3,3,1,0,1,0,2003,577000
OklahomaCityOK-014,6712 Robinson St,Oklahoma City,OK,73170,2704,0.23,4,4,2,0,1,1,1978,366000
NobleOK-010,5143 Western Ave,Noble,OK,73068,1326,3.57,5,4,0,0,0,1,2017,187000
NobleOK-011,7686 Western Ave,Noble,OK,73068,2997,3.52,4,4,1,0,0,0,1978,352000
NobleOK-012,3066 Main St,Noble,OK,73068,3898,0.63,5,4,1,1,1,0,2018,549000
NobleOK-013,4539 Maple Ln,Noble,OK,73068,2194,3.99,3,2.5,1,0,1,0,2003,296000
NormanOK-013,9262 Pine Rd,Norman,OK,73069,1108,0.30,5,5,3,0,1,0,2003,182000
NobleOK-014,9455 Cedar Ct,Noble,OK,73068,4356,3.63,4,3,1,0,1,1,1969,556000
NormanOK-014,2183 Oak Ave,Norman,OK,73069,2470,0.25,5,5,2,0,1,0,2010,390000
OklahomaCityOK-015,7938 Pine Rd,Oklahoma City,OK,73139,1836,0.31,4,3,1,0,1,0,1968,235000
OklahomaCityOK-016,1110 Maple Ln,Oklahoma City,OK,73160,2706,0.23,4,4,0,0,1,0,2023,390000
NobleOK-015,5478 Western Ave,Noble,OK,73068,1892,2.49,3,3,1,0,1,0,2005,243000
OklahomaCityOK-017,7110 Western Ave,Oklahoma City,OK,73139,2915,0.32,3,2,2,0,1,0,2015,435000
NobleOK-016,2695 Maple Ln,Noble,OK,73068,3545,3.07,2,2,3,0,1,1,1994,488000
OklahomaCityOK-018,6827 Classen Blvd,Oklahoma City,OK,73160,2045,0.25,3,3,3,0,1,1,2015,320000
NobleOK-017,3070 Main St,Noble,OK,73068,1909,1.80,3,3.5,1,0,1,1,1971,222000
NormanOK-015,1559 Maple Ln,Norman,OK,73069,3614,0.25,5,5.5,1,0,0,1,2006,558000
OklahomaCityOK-019,9714 Oak Ave,Oklahoma City,OK,73170,1983,0.28,4,3.5,2,0,0,0,1989,266000
OklahomaCityOK-020,2824 Cedar Ct,Oklahoma City,OK,73170,3156,0.20,3,3,0,0,1,0,1995,442000
NormanOK-016,6040 Main St,Norman,OK,73071,1208,0.35,4,4,0,0,0,0,1960,109000
NormanOK-017,5397 Cedar Ct,Norman,OK,73072,1851,0.18,3,3.5,3,0,1,0,1991,279000
NormanOK-018,5114 Pine Rd,Norman,OK,73072,3809,0.30,4,4.5,1,0,1,0,2014,585000
NormanOK-019,1915 Classen Blvd,Norman,OK,73069,1592,0.33,4,3,0,0,1,0,1993,230000
OklahomaCityOK-021,3322 Pine Rd,Oklahoma City,OK,73139,2968,0.28,5,4,2,0,1,0,2009,444000
OklahomaCityOK-022,4559 Washington Blvd,Oklahoma City,OK,73159,4093,0.35,3,3.5,1,0,1,1,1985,570000
OklahomaCityOK-023,9625 Pine Rd,Oklahoma City,OK,73159,3261,0.27,3,3.5,2,0,1,0,2001,478000
NobleOK-018,5456 Maple Ln,Noble,OK,73068,2381,3.83,2,2,3,0,0,0,1973,309000
NormanOK-020,2186 Classen Blvd,Norman,OK,73071,1213,0.21,5,4,0,0,0,0,1979,147000
NormanOK-021,2930 Pine Rd,Norman,OK,73072,1667,0.26,5,4.5,0,0,1,0,2018,267000
NormanOK-022,7554 Penn Ave,Norman,OK,73069,1182,0.25,2,1.5,3,0,0,1,1969,144000
OklahomaCityOK-024,7297 Robinson St,Oklahoma City,OK,73170,4296,0.21,4,4.5,1,0,1,0,1975,594000
OklahomaCityOK-025,8504 Robinson St,Oklahoma City,OK,73159,3120,0.28,3,2.5,1,0,0,0,1989,434000
NobleOK-019,3761 Main St,Noble,OK,73068,1277,3.54,4,4.5,0,0,1,0,1991,153000
NormanOK-023,2432 Main St,Norman,OK,73071,2712,0.31,2,1,0,1,1,1,1971,400000
OklahomaCityOK-026,8385 Cedar Ct,Oklahoma City,OK,73160,3935,0.23,2,1.5,1,0,1,0,1975,526000
NormanOK-024,7109 Pine Rd,Norman,OK,73072,1581,0.32,3,2.5,1,0,1,0,1962,189000
NobleOK-020,1608 Robinson St,Noble,OK,73068,4335,1.17,2,1.5,0,0,0,0,2019,594000
NormanOK-025,822 Washington Blvd,Norman,OK,73072,4178,0.18,4,3,0,1,0,1,2007,657000
OklahomaCityOK-027,8792 Pine Rd,Oklahoma City,OK,73139,4024,0.17,2,1,2,1,1,0,1979,585000
NormanOK-026,2390 Classen Blvd,Norman,OK,73072,1940,0.28,3,3.5,2,0,1,1,1981,276000
NobleOK-021,4325 Maple Ln,Noble,OK,73068,2200,3.05,4,4.5,1,0,0,1,1993,279000
NormanOK-027,9468 Main St,Norman,OK,73071,1736,0.19,2,1.5,2,0,1,0,1975,225000
NobleOK-022,3281 Washington Blvd,Noble,OK,73068,3665,3.33,5,4.5,1,0,1,1,2013,494000
OklahomaCityOK-028,400 Robinson St,Oklahoma City,OK,73159,3717,0.23,4,4,0,1,0,0,1962,514000
NormanOK-028,7410 Penn Ave,Norman,OK,73071,3637,0.16,4,4,3,1,1,0,1975,576000
NobleOK-023,7611 Maple Ln,Noble,OK,73068,4272,4.22,5,5.5,0,0,1,0,1964,522000
NobleOK-024,2531 Pine Rd,Noble,OK,73068,1201,0.91,5,4.5,1,0,0,1,2006,152000
NobleOK-025,8588 Maple Ln,Noble,OK,73068,4338,1.22,4,3,3,0,0,0,1968,554000
NormanOK-029,4346 Washington Blvd,Norman,OK,73072,2045,0.37,3,2,0,0,1,1,1984,266000
OklahomaCityOK-029,281 Classen Blvd,Oklahoma City,OK,73139,4243,0.22,5,4.5,2,0,1,1,1983,582000
NormanOK-030,4119 Robinson St,Norman,OK,73071,2763,0.31,2,2,2,0,1,0,2022,430000
OklahomaCityOK-030,8223 Penn Ave,Oklahoma City,OK,73170,1562,0.28,5,4,3,0,1,0,1986,207000
OklahomaCityOK-031,7144 Washington Blvd,Oklahoma City,OK,73139,2126,0.29,3,3.5,2,0,1,1,1997,315000
NobleOK-026,4429 Pine Rd,Noble,OK,73068,1342,3.11,5,4.5,1,0,1,0,1969,139000
OklahomaCityOK-032,3002 Classen Blvd,Oklahoma City,OK,73159,2058,0.16,2,2.5,0,0,1,0,1981,262000
NormanOK-031,5692 Penn Ave,Norman,OK,73072,2361,0.34,3,2,0,0,1,0,1963,322000
NormanOK-032,2919 Maple Ln,Norman,OK,73071,4068,0.17,3,3.5,3,0,1,0,2022,655000
OklahomaCityOK-033,3770 Washington Blvd,Oklahoma City,OK,73159,1516,0.28,3,3.5,3,0,1,0,2020,240000
NormanOK-033,995 Western Ave,Norman,OK,73069,3318,0.18,3,3.5,2,0,1,1,1995,505000
NobleOK-027,4224 Penn Ave,Noble,OK,73068,2838,1.82,2,1,3,1,0,0,2010,429000
OklahomaCityOK-034,1898 Classen Blvd,Oklahoma City,OK,73170,1353,0.29,4,3.5,1,0,1,1,1999,169000
NobleOK-028,9937 Cedar Ct,Noble,OK,73068,1967,4.56,4,4.5,3,0,0,0,1979,245000
NormanOK-034,519 Robinson St,Norman,OK,73071,4474,0.21,3,2,2,1,1,1,2020,729000
NormanOK-035,3513 Western Ave,Norman,OK,73072,4217,0.26,3,2.5,0,0,0,0,2009,626000
NobleOK-029,2260 Main St,Noble,OK,73068,1522,4.20,5,5.5,0,0,1,1,1976,161000
OklahomaCityOK-035,4218 Main St,Oklahoma City,OK,73159,2567,0.30,2,2,3,1,1,1,2009,417000
OklahomaCityOK-036,2458 Cedar Ct,Oklahoma City,OK,73160,2920,0.32,4,4,2,1,1,1,2016,461000
OklahomaCityOK-037,4732 Robinson St,Oklahoma City,OK,73160,1824,0.17,5,4,0,0,1,0,1985,232000
NobleOK-030,2607 Main St,Noble,OK,73068,2190,0.74,3,2,2,0,0,0,1963,242000
NobleOK-031,5621 Penn Ave,Noble,OK,73068,2636,1.08,5,5,0,0,1,0,1963,309000
OklahomaCityOK-038,3541 Oak Ave,Oklahoma City,OK,73159,1520,0.23,5,5,3,0,1,1,1998,212000
OklahomaCityOK-039,1821 Maple Ln,Oklahoma City,OK,73139,3914,0.33,3,2.5,2,1,0,1,1983,582000
OklahomaCityOK-040,5115 Main St,Oklahoma City,OK,73159,1278,0.30,4,3.5,2,0,0,0,1987,154000
OklahomaCityOK-041,6644 Washington Blvd,Oklahoma City,OK,73159,3108,0.28,4,3.5,3,0,1,0,2004,465000
NormanOK-036,4098 Classen Blvd,Norman,OK,73071,2386,0.21,3,2,2,1,1,1,1995,378000
NobleOK-032,2496 Pine Rd,Noble,OK,73068,1551,0.75,3,3,3,0,1,0,1992,211000
NobleOK-033,6550 Maple Ln,Noble,OK,73068,3664,1.31,4,3.5,2,0,1,0,2008,504000
NormanOK-037,7320 Oak Ave,Norman,OK,73072,1357,0.39,5,5.5,1,0,1,1,2015,211000
NobleOK-034,5740 Pine Rd,Noble,OK,73068,2454,0.87,2,2,1,1,1,1,2017,358000
OklahomaCityOK-042,4088 Classen Blvd,Oklahoma City,OK,73170,1247,0.23,2,1,2,0,0,0,1991,160000
NormanOK-038,9610 Maple Ln,Norman,OK,73071,2925,0.30,2,2,3,0,1,1,2008,475000
NormanOK-039,2487 Pine Rd,Norman,OK,73069,2465,0.16,3,2.5,1,1,1,0,1984,366000
